hour,alert_count,normalized_count
0,840,0.7713498622589532
1,675,0.6198347107438017
2,609,0.559228650137741
3,420,0.3856749311294766
4,298,0.2736455463728191
5,201,0.18457300275482094
6,197,0.18089990817263543
7,271,0.24885215794306703
8,338,0.310376492194674
9,361,0.3314967860422406
10,258,0.2369146005509642
11,184,0.1689623507805326
12,252,0.23140495867768596
13,340,0.3122130394857668
14,365,0.3351698806244261
15,312,0.2865013774104683
16,186,0.17079889807162535
17,222,0.20385674931129477
18,558,0.512396694214876
19,833,0.7649219467401286
20,998,0.9164370982552801
21,1065,0.977961432506887
22,1089,1.0
23,1001,0.9191919191919192
