hour,regions
2025-01-01T00:00:00,
2025-01-01T01:00:00,Kirovohrad
2025-01-01T02:00:00,Dnipropetrovs'k
2025-01-01T03:00:00,Dnipropetrovs'k|Kirovohrad
2025-01-01T04:00:00,Rivne|Khmel'nyts'kyy
2025-01-01T05:00:00,Kiev City
2025-01-01T06:00:00,Kiev City|Cherkasy
2025-01-01T07:00:00,Kiev City|Cherkasy
2025-01-01T08:00:00,Donets'k
2025-01-01T09:00:00,Donets'k|Kherson|Mykolayiv|Sumy
2025-01-01T10:00:00,Sumy
2025-01-01T11:00:00,Sumy
2025-01-01T12:00:00,Sumy|Donets'k|Zaporizhzhya
2025-01-01T13:00:00,Sumy|Kharkiv|Poltava|Cherkasy|Dnipropetrovs'k|Zaporizhzhya|Kirovohrad|Mykolayiv|Odessa|Kherson|Donets'k
2025-01-01T14:00:00,
2025-01-01T15:00:00,Donets'k|Sumy|Kharkiv
2025-01-01T16:00:00,Donets'k|Sumy
2025-01-01T17:00:00,Kharkiv|Poltava|Dnipropetrovs'k|Donets'k|Zaporizhzhya|Chernihiv|Sumy
2025-01-01T18:00:00,Kharkiv|Poltava|Chernihiv|Dnipropetrovs'k|Sumy
2025-01-01T19:00:00,Kharkiv|Poltava|Chernihiv|Dnipropetrovs'k|Kherson|Mykolayiv|Zaporizhzhya|Sumy
2025-01-01T20:00:00,Kherson|Mykolayiv|Kharkiv|Poltava|Cherkasy|Kirovohrad|Sumy
2025-01-01T21:00:00,Mykolayiv|Cherkasy|Kirovohrad|Odessa|Kharkiv|Sumy
2025-01-01T22:00:00,Sumy|Chernihiv|Donets'k|Poltava|Cherkasy|Kharkiv
2025-01-01T23:00:00,Sumy|Chernihiv|Donets'k|Poltava|Cherkasy|Kharkiv|Kiev|Kherson|Mykolayiv
2025-01-02T00:00:00,Sumy|Chernihiv|Donets'k|Poltava|Cherkasy|Kharkiv|Kiev|Kherson|Mykolayiv|Dnipropetrovs'k|Kirovohrad
2025-01-02T01:00:00,Sumy|Chernihiv|Donets'k|Poltava|Cherkasy|Kharkiv|Kiev|Dnipropetrovs'k|Kirovohrad|Zaporizhzhya|Vinnytsya
2025-01-02T02:00:00,Sumy|Chernihiv|Poltava|Cherkasy|Kharkiv|Kiev|Dnipropetrovs'k|Kirovohrad|Kiev City
2025-01-02T03:00:00,Sumy|Chernihiv|Poltava|Cherkasy|Kharkiv|Kiev|Kirovohrad|Donets'k
2025-01-02T04:00:00,Sumy|Poltava|Kharkiv
2025-01-02T05:00:00,Sumy|Poltava|Kharkiv
2025-01-02T06:00:00,Poltava|Kharkiv
2025-01-02T07:00:00,Sumy|Donets'k
2025-01-02T08:00:00,Sumy|Donets'k
2025-01-02T09:00:00,Sumy|Donets'k|Kharkiv
2025-01-02T10:00:00,Donets'k
2025-01-02T11:00:00,Donets'k|Kharkiv|Zaporizhzhya|Cherkasy|Poltava|Dnipropetrovs'k|Kiev|Sumy|Kirovohrad|Chernihiv
2025-01-02T12:00:00,
2025-01-02T13:00:00,Poltava|Sumy|Donets'k|Kharkiv|Chernihiv
2025-01-02T14:00:00,Poltava|Sumy|Donets'k|Kharkiv|Chernihiv|Odessa|Mykolayiv
2025-01-02T15:00:00,Poltava|Sumy|Donets'k|Kharkiv|Kirovohrad|Zaporizhzhya|Dnipropetrovs'k|Kherson
2025-01-02T16:00:00,Donets'k
2025-01-02T17:00:00,Kharkiv|Zaporizhzhya|Donets'k|Poltava|Chernihiv|Dnipropetrovs'k|Sumy|Cherkasy|Kiev
2025-01-02T18:00:00,
2025-01-02T19:00:00,Sumy
2025-01-02T20:00:00,Sumy|Zaporizhzhya|Donets'k|Kharkiv
2025-01-02T21:00:00,Donets'k|Dnipropetrovs'k|Kharkiv
2025-01-02T22:00:00,Donets'k|Dnipropetrovs'k|Zaporizhzhya|Kharkiv|Sumy
2025-01-02T23:00:00,Kharkiv|Sumy|Chernihiv|Poltava|Donets'k
2025-01-03T00:00:00,Kharkiv|Sumy|Chernihiv|Poltava|Donets'k|Kiev
2025-01-03T01:00:00,Kharkiv|Sumy|Chernihiv|Poltava|Donets'k|Kiev|Cherkasy|Zhytomyr
2025-01-03T02:00:00,Sumy|Chernihiv|Poltava|Donets'k|Kiev|Cherkasy|Zhytomyr
2025-01-03T03:00:00,Sumy|Chernihiv|Poltava|Donets'k|Kiev|Zhytomyr|Kiev City
2025-01-03T04:00:00,Sumy|Chernihiv|Poltava|Donets'k|Kiev|Zhytomyr|Kiev City
2025-01-03T05:00:00,Sumy|Chernihiv|Kiev|Zhytomyr|Kiev City|Vinnytsya|Kharkiv|Khmel'nyts'kyy
2025-01-03T06:00:00,Sumy|Chernihiv|Kiev|Kharkiv|Poltava|Cherkasy|Kirovohrad
2025-01-03T07:00:00,Sumy|Chernihiv|Kiev|Dnipropetrovs'k|Kiev City|Zaporizhzhya|Poltava|Kirovohrad|Cherkasy|Kharkiv|Donets'k
2025-01-03T08:00:00,Sumy|Chernihiv|Donets'k
2025-01-03T09:00:00,Sumy|Donets'k|Zaporizhzhya|Kiev|Kharkiv|Zhytomyr
